Year;quarter;ukos;mode;country;purpose;package;Age;Sex;duration;visits;nights;expend;sample
2022;1;1;1;12;3;1;2;1;4;"1074,264";"56935,971";"537131,803";1
2022;1;1;1;12;4;1;2;1;3;"285,049";"3990,679";"71262,126";1
2022;1;1;1;12;4;1;2;1;4;"305,068";"10677,369";"331303,501";1
2022;1;1;1;12;4;1;2;2;2;"590,116";"3520,678";"159779,554";2
2022;1;1;1;12;4;1;2;2;3;"1639,154";"29085,883";"552759,629";2
2022;1;1;1;12;4;1;2;2;4;"305,068";"21659,805";"305067,681";1
2022;1;1;1;12;4;1;3;1;2;"2660,017";"20357,180";"568789,330";5
2022;1;1;1;12;4;1;3;1;3;"1432,553";"25711,888";"713059,361";4
2022;1;1;1;12;4;1;3;1;4;"950,446";"50666,126";"1694354,059";2
2022;1;1;1;12;4;1;3;2;1;"305,068";"915,203";"30506,768";1
2022;1;1;1;12;4;1;3;2;2;"305,068";"3050,677";"0,000";1
2022;1;1;1;12;4;1;3;2;3;"2361,877";"39987,942";"874131,984";6
2022;1;1;1;12;4;1;3;2;4;"896,948";"36774,851";"788416,937";1
2022;1;1;1;12;4;1;4;#NULL!;4;"305,068";"9457,098";"294695,380";1
2022;1;1;1;12;4;1;4;1;1;"305,068";"610,135";"74131,446";1
2022;1;1;1;12;4;1;4;1;2;"2295,669";"23188,329";"919857,574";5
2022;1;1;1;12;4;1;4;1;3;"1954,596";"38251,463";"1062551,133";6
2022;1;1;1;12;4;1;4;1;4;"896,948";"27805,375";"4036264,183";1
2022;1;1;1;12;4;1;4;2;1;"1177,907";"3228,653";"161415,364";2
2022;1;1;1;12;4;1;4;2;2;"285,049";"1995,340";"94921,152";1
2022;1;1;1;12;4;1;4;2;3;"1835,539";"34239,373";"1142270,781";3
2022;1;1;1;12;4;1;5;1;2;"1603,722";"9443,853";"667729,328";4
2022;1;1;1;12;4;1;5;1;3;"305,068";"6406,421";"180905,135";1
2022;1;1;1;12;4;1;5;2;2;"537,369";"3761,581";"48363,186";1
2022;1;1;1;12;4;1;6;1;2;"1079,431";"7556,018";"244399,892";3
2022;1;1;1;12;4;1;6;1;3;"610,135";"14643,249";"410316,031";2
2022;1;1;1;12;4;1;6;2;4;"1132,807";"47577,881";"566403,351";1
2022;1;1;1;12;4;1;7;1;2;"285,049";"2280,388";"285048,505";1
2022;1;1;1;12;4;1;7;2;3;"305,068";"7016,557";"220869,001";1
2022;1;1;1;12;4;2;2;1;2;"469,296";"2346,479";"250603,960";1
2022;1;1;1;12;4;2;4;2;2;"305,884";"3058,843";"154777,434";1
2022;1;1;1;12;5;1;3;1;1;"610,135";"1830,406";"122027,072";2
